epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.38342,1.47696,2.454,0.00688,0.51199,0.46283,0.49091,0.27079,1.54365,1.79188,0.01032,0.000191667,0.000191667,0.081025
2,7.4128,1.29345,1.16496,0.00592,0.63716,0.58178,0.66407,0.41806,1.27209,1.32273,0.00786,0.000352892,0.000352892,0.0611862
3,10.1462,1.27104,1.02403,0.00569,0.68191,0.65126,0.72737,0.4506,1.28991,1.1883,0.00793,0.000474517,0.000474517,0.0413079
4,12.8785,1.24604,0.97156,0.00561,0.71016,0.65356,0.73809,0.4512,1.31745,1.15887,0.00794,0.000556542,0.000556542,0.0213899
5,15.5535,1.20441,0.94018,0.00539,0.72077,0.66813,0.76577,0.47718,1.25048,1.11223,0.00769,0.000598967,0.000598967,0.0014323
6,18.1984,1.18242,0.86373,0.00519,0.75029,0.68045,0.76981,0.47943,1.28487,1.05652,0.00785,0.000505,0.000505,0.000505
7,20.9013,1.14019,0.7883,0.00526,0.72103,0.70236,0.76616,0.47227,1.29905,1.03029,0.00785,0.000406,0.000406,0.000406
8,23.5128,1.1349,0.77759,0.00504,0.73901,0.70186,0.78884,0.49912,1.20751,0.9848,0.00733,0.000307,0.000307,0.000307
9,26.3935,1.12142,0.76708,0.00478,0.74948,0.70156,0.7845,0.48889,1.24351,1.00571,0.00754,0.000208,0.000208,0.000208
10,28.9964,1.10549,0.73745,0.00487,0.7519,0.71041,0.78976,0.49265,1.24284,0.99861,0.00754,0.000109,0.000109,0.000109
11,4.36219,1.53583,2.16721,0.00685,0.70736,0.6943,0.77635,0.46918,1.31998,1.03308,0.0084,0.0001,0.0001,0.0001
12,8.92326,1.23712,0.92382,0.00495,0.75326,0.67064,0.78225,0.48137,1.26355,1.01099,0.0079,9.93906e-05,9.93906e-05,9.93906e-05
13,14.2346,1.13541,0.87925,0.00451,0.77202,0.71608,0.79996,0.51142,1.20058,0.9869,0.00742,9.75773e-05,9.75773e-05,9.75773e-05
14,18.8343,1.10887,0.77463,0.00441,0.74696,0.74393,0.80282,0.50261,1.22545,0.95068,0.00752,9.46048e-05,9.46048e-05,9.46048e-05
15,23.296,1.08881,0.76002,0.00432,0.76857,0.74415,0.81447,0.52364,1.21502,0.92521,0.00741,9.05463e-05,9.05463e-05,9.05463e-05
16,27.9085,1.01124,0.67975,0.00393,0.76736,0.72061,0.80274,0.50875,1.25538,0.95608,0.00772,8.55018e-05,8.55018e-05,8.55018e-05
17,32.3726,1.01705,0.72965,0.00426,0.7721,0.71564,0.79925,0.50811,1.25781,0.94979,0.00773,7.95954e-05,7.95954e-05,7.95954e-05
18,36.8568,0.98188,0.67779,0.0039,0.77204,0.74341,0.8151,0.51455,1.24684,0.9065,0.00758,7.29725e-05,7.29725e-05,7.29725e-05
19,41.4919,0.95781,0.60565,0.00349,0.76313,0.74021,0.80962,0.5118,1.26578,0.89856,0.00776,6.57963e-05,6.57963e-05,6.57963e-05
20,45.9418,0.9303,0.61077,0.00399,0.77839,0.73908,0.81493,0.51841,1.25631,0.89398,0.00767,5.82435e-05,5.82435e-05,5.82435e-05
21,51.6817,0.9175,0.57697,0.00379,0.77832,0.72513,0.80449,0.49854,1.30475,0.95836,0.00802,5.05e-05,5.05e-05,5.05e-05
22,56.1211,0.86718,0.53297,0.00368,0.7555,0.74938,0.8029,0.50732,1.27121,0.92022,0.00793,4.27565e-05,4.27565e-05,4.27565e-05
23,60.4938,0.84256,0.51716,0.00358,0.7549,0.74833,0.80538,0.49729,1.29028,0.91733,0.00799,3.52037e-05,3.52037e-05,3.52037e-05
24,65.0638,0.8419,0.4857,0.00355,0.77285,0.73498,0.81507,0.50037,1.28563,0.91024,0.00799,2.80275e-05,2.80275e-05,2.80275e-05
25,69.4266,0.83903,0.50214,0.00347,0.77025,0.74038,0.81551,0.50103,1.29072,0.9177,0.00799,2.14046e-05,2.14046e-05,2.14046e-05
26,73.8035,0.8261,0.5032,0.00339,0.77533,0.74715,0.81723,0.5027,1.29022,0.91463,0.00799,1.54982e-05,1.54982e-05,1.54982e-05
27,78.1827,0.82011,0.47345,0.00329,0.78005,0.75055,0.82149,0.50836,1.28291,0.89742,0.00794,1.04537e-05,1.04537e-05,1.04537e-05
28,82.5545,0.80759,0.49241,0.00341,0.77552,0.74878,0.82319,0.51028,1.2784,0.89204,0.00793,6.39518e-06,6.39518e-06,6.39518e-06
29,86.9251,0.80113,0.46596,0.00325,0.77541,0.75486,0.82173,0.50956,1.28205,0.89609,0.00795,3.4227e-06,3.4227e-06,3.4227e-06
30,91.4389,0.79647,0.46213,0.00347,0.78373,0.74424,0.82351,0.51032,1.27817,0.89631,0.00792,1.60943e-06,1.60943e-06,1.60943e-06
