epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9702,1.4773,2.97312,0.00804,0.04936,0.2528,0.11718,0.07199,1.23406,3.90057,0.00736,0.000195833,0.000195833,0.0806125
2,14.2965,1.44579,2.02774,0.00794,0.12254,0.62912,0.36315,0.20544,1.37771,3.16822,0.00848,0.000356646,0.000356646,0.0607733
3,17.3648,1.40405,1.70904,0.00778,0.51496,0.33797,0.41291,0.24372,1.41894,2.1832,0.0088,0.000477858,0.000477858,0.0408945
4,20.4543,1.38139,1.55851,0.00758,0.49586,0.41928,0.45283,0.26844,1.39356,1.89743,0.00864,0.000559471,0.000559471,0.0209761
5,23.434,1.35678,1.43695,0.00747,0.50297,0.43751,0.47711,0.28417,1.38571,1.81477,0.0086,0.000601483,0.000601483,0.00101815
6,26.4086,1.33765,1.3846,0.00726,0.51972,0.47717,0.50991,0.29745,1.40538,1.62617,0.00873,0.000505,0.000505,0.000505
7,29.418,1.323,1.31378,0.00729,0.54998,0.4846,0.53229,0.31171,1.40305,1.61,0.0087,0.000406,0.000406,0.000406
8,32.405,1.32494,1.26986,0.00725,0.53724,0.49311,0.53675,0.31566,1.3911,1.55901,0.00858,0.000307,0.000307,0.000307
9,35.349,1.33802,1.25258,0.0072,0.55203,0.49017,0.54548,0.31824,1.3979,1.5547,0.0087,0.000208,0.000208,0.000208
10,38.4352,1.30323,1.23557,0.00721,0.55974,0.49797,0.55087,0.32084,1.40523,1.52144,0.00871,0.000109,0.000109,0.000109
11,5.98948,1.53897,1.99266,0.00794,0.612,0.60021,0.64948,0.37447,1.40698,1.36895,0.00875,0.0001,0.0001,0.0001
12,10.2391,1.41364,1.34896,0.00664,0.61738,0.56809,0.62613,0.35792,1.40574,1.34177,0.00873,9.93906e-05,9.93906e-05,9.93906e-05
13,15.1071,1.35412,1.26008,0.00627,0.63379,0.57627,0.63878,0.37027,1.3761,1.33851,0.0086,9.75773e-05,9.75773e-05,9.75773e-05
14,19.3406,1.29569,1.20057,0.00607,0.60911,0.59196,0.6416,0.3793,1.35822,1.33412,0.00845,9.46048e-05,9.46048e-05,9.46048e-05
15,23.6271,1.26022,1.17701,0.00587,0.62215,0.58766,0.64392,0.37925,1.36762,1.3198,0.0085,9.05463e-05,9.05463e-05,9.05463e-05
16,27.9212,1.24198,1.15492,0.00588,0.6424,0.59513,0.66062,0.39043,1.35639,1.29064,0.00839,8.55018e-05,8.55018e-05,8.55018e-05
17,32.2019,1.21605,1.12202,0.00571,0.6596,0.61206,0.67569,0.40161,1.34982,1.25129,0.0083,7.95954e-05,7.95954e-05,7.95954e-05
18,36.5853,1.21376,1.11127,0.00571,0.65475,0.60944,0.67565,0.40669,1.35759,1.23772,0.00844,7.29725e-05,7.29725e-05,7.29725e-05
19,40.8418,1.19354,1.06956,0.00543,0.65876,0.60522,0.6777,0.40388,1.3636,1.23998,0.00848,6.57963e-05,6.57963e-05,6.57963e-05
20,45.0409,1.17885,1.06245,0.0056,0.66602,0.60519,0.68008,0.39798,1.37277,1.25714,0.00848,5.82435e-05,5.82435e-05,5.82435e-05
21,50.4567,1.16383,1.11011,0.00617,0.66477,0.62939,0.68821,0.40421,1.37185,1.19493,0.00852,5.05e-05,5.05e-05,5.05e-05
22,54.4479,1.12949,0.99744,0.00592,0.6614,0.62621,0.6843,0.39912,1.38748,1.21522,0.00866,4.27565e-05,4.27565e-05,4.27565e-05
23,58.4775,1.11037,0.97114,0.00579,0.67135,0.62719,0.69112,0.40027,1.40023,1.20548,0.00874,3.52037e-05,3.52037e-05,3.52037e-05
24,62.7735,1.1053,0.9601,0.00572,0.66771,0.61748,0.6874,0.39745,1.40675,1.21408,0.00879,2.80275e-05,2.80275e-05,2.80275e-05
25,66.8545,1.08787,0.93642,0.00553,0.66788,0.62189,0.68797,0.40042,1.39623,1.20839,0.00869,2.14046e-05,2.14046e-05,2.14046e-05
26,70.9346,1.09492,0.94517,0.00575,0.67597,0.62597,0.69539,0.40531,1.39195,1.19896,0.00865,1.54982e-05,1.54982e-05,1.54982e-05
27,74.9578,1.08951,0.9379,0.00561,0.67649,0.626,0.69675,0.40563,1.39662,1.19525,0.00869,1.04537e-05,1.04537e-05,1.04537e-05
28,79.0645,1.08102,0.93466,0.00556,0.6845,0.62183,0.69808,0.40642,1.39828,1.18997,0.00871,6.39518e-06,6.39518e-06,6.39518e-06
29,83.3518,1.07537,0.93111,0.00557,0.68643,0.6207,0.69774,0.40578,1.39924,1.18973,0.00871,3.4227e-06,3.4227e-06,3.4227e-06
30,87.2766,1.0944,0.93583,0.00554,0.67572,0.62569,0.69511,0.40338,1.40068,1.1973,0.00872,1.60943e-06,1.60943e-06,1.60943e-06
